gbs_customer_number,gbs_customer_name,risk_class,gbs_payment_term,order_number,invoice_number,item_family_name,item_product_type,collector_code,gbs_document_date,gbs_due_date,gbs_clearing_date,payment_days,days_to_pay,customer,gbs_amount_paid,bill_location_country_cd,ship_type,order_type_description,route_description,sales_rep_name,business_unit,reason_coding,invc_rjctn_sts,invc_rjctn_desc,trx_type,amnt_categ,product_category,biczincotrm
IE10_1000228218,REDINGTON (INDIA) LIMITED,HI,,40801931.0,3700204864,CUSTOMER SERVICE,CS HARDWARE,IE007,2017-10-24 00:00:00,2017-10-24 00:00:00,2017-11-14 00:00:00,21.0,0.0,Bad,-3150,IN,,Service and Maint.,,,IE10,,,,,Low Pay,RENEWAL,Ex Works
KR10_1000113919,GREENBELL SYSTEMS INC.,HI,NT07,40687560.0,4700024285,SYMMETRIX,CS SOFTWARE,KR001,2016-08-31 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,91.0,30.0,Bad,2185,KR,,Service and Maint.,,,KR10,,,,,Low Pay,RENEWAL,Ex Works
KR10_1000373912,INSUNG,MED,NT07,40700602.0,4700024926,SYMMETRIX,CS HARDWARE,KR001,2016-09-23 00:00:00,2016-10-23 00:00:00,2016-12-30 00:00:00,68.0,30.0,Bad,355,KR,,Service and Maint.,,,KR10,,,,,Low Pay,RENEWAL,
JP10_1000223714,NEC CORPORATION,PLA,EO10,310489583.0,4000112685,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,JP001,2018-03-22 00:00:00,2018-05-07 00:00:00,2018-05-07 00:00:00,0.0,46.0,Good,18250,JP,,EMC Std. Sales Order,,"KOIKE, FUMIHITO",JP10,,,,,Low Pay,PS Level 2,Delivered Duty Paid
PH10_1000291621,THAKRAL INFOTECH INCORPORATED,RED,,310426908.0,1250004357,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,PH001,2018-04-23 00:00:00,2018-04-23 00:00:00,2018-04-24 00:00:00,1.0,0.0,Good,-62,PH,,EMC Std. Sales Order,,"DELGADO, VINCENT",PH10,,,,,Low Pay,Professional Service,Ex Works
JP10_1000247630,ITOCHU TECHNO-SOLUTIONS CORPORATION,LOW,EO14,310164624.0,4000089106,DATADOMAIN,HARDWARE,JP001,2016-09-28 00:00:00,2016-11-29 00:00:00,2016-11-30 00:00:00,1.0,62.0,Good,148556,JP,Truck,EMC Issue,IE to JP - 5 - 7 Day Ground Direct,"YAMASHITA, TAKAHIRO",JP10,,,,,High Pay,Product PS level 1,Carriage and insurance paid to
AU12_1004214730,SYDNEY WATER,MED,NT07,310435895.0,2700057858,CUSTOMER SERVICE,CS HARDWARE,AU002,2017-12-04 00:00:00,2018-01-03 00:00:00,2018-01-26 00:00:00,23.0,30.0,Bad,1436089,AU,,EMC Std. Sales Order,,"PHILLIPS, LANCE",AU12,,,,,High Pay,Product PS level 1,Delivered Duty Paid
KR10_1000302815,INTECH & COMPANY INC.,LOW,NT07,,K1601-028,,,KR001,2016-02-12 00:00:00,2016-02-12 00:00:00,2016-02-12 00:00:00,0.0,0.0,Good,1091,,,,,,KR10,,,,,Low Pay,,
KR10_1000099156,EDUNTECH,LOW,NT07,310153687.0,4700024544,CUSTOMER EDUCATION,CUSTOMER EDUCATION,KR001,2016-09-22 00:00:00,2016-10-22 00:00:00,2016-09-30 00:00:00,-22.0,30.0,Good,17676,KR,,EMC Std. Sales Order,,"QUOTA HOUSE, KOREA",KR10,,,,,Low Pay,Customer Education,Ex Works
AU12_1000317570,TECH DATA ADVANCED SOLUTIONS (ANZ) LIMITED,EXL,NT07,310030507.0,2700044080,UNIFIED,SOFTWARE,AU002,2016-03-26 00:00:00,2016-04-25 00:00:00,2016-05-05 00:00:00,10.0,30.0,Good,228981,AU,,EMC Std. Sales Order,,"FRANCISCUS, ANTHONY",AU12,,0.0,,PROCESSED,High Pay,Product PS level 1,Carriage and insurance paid to
